Title,Link,Upload Date,View Count
"보기만 해도 즐거운 다양한 케이크 만들기, 용인 보정동 카페거리 / Amazing Cake Decorating Technique - Korean Street Food",https://www.youtube.com/watch?v=-xlmBoQ4paI&pp=ygUKa29yZWEgZm9vZA%3D%3D,1년 전,조회수 673만회
What I Ate for Lunch at a High School in Korea Part 4 🇰🇷🏫 #korea #southkorea #seoul #koreanfood,https://www.youtube.com/shorts/F2-bSCGmgMg,2년 전,조회수 3006만회
보기만해도 군침도는?! 맛있고 인기많은 소고기 요리 BEST 6! amazing beef dishes in Korea - Korean street food,https://www.youtube.com/watch?v=TfAA1L5TXrk&pp=ygUKa29yZWEgZm9vZA%3D%3D,10개월 전,조회수 5871만회
Korean lunch in 2050🇰🇷 #korea #food #mukbang #korean #yummy #seoul #koreanfood #tws #foodie,https://www.youtube.com/shorts/fSwdD0KHsMw,2년 전,조회수 230만회
Korean 7 Eleven is the best😍#korean #korea #food,https://www.youtube.com/shorts/sYOGLQFqeUI,2년 전,조회수 43만회
Different types of Korean eating @byungari0904 #korean #food #tiktok  #shorts,https://www.youtube.com/shorts/02pE2tYPz5g,3일 전,조회수 735만회
Lunch at a Korean university🇰🇷 -Ehwa women’s university- #koreanfood #food #foodie #school,https://www.youtube.com/shorts/twDIYR6PjeA,8개월 전,조회수 2132만회
under $20 meal at the korean convenience store 🤤,https://www.youtube.com/shorts/SLJ_VGDlPAo,3년 전,조회수 4186만회
What I Ate for Lunch at the Office in Korea Part 32 🇰🇷 #korea #southkorea #seoul #koreanfood,https://www.youtube.com/shorts/BrwW3ks-JFU,1년 전,조회수 230만회
What I Ate for Lunch at School in Korea Part 63 🇰🇷 #korea #seoul #mukbang #koreanfood,https://www.youtube.com/shorts/KPj0tuCHhWI,2년 전,조회수 2.3만회
Traditional Korean Street Food Tour at Gwangjang Market in Seoul!,https://www.youtube.com/watch?v=ljf8yxDQ1d0&pp=ygUKa29yZWEgZm9vZA%3D%3D,1년 전,조회수 481만회
신박합니다! 국내최초 계란을 딱지처럼 접어서 먹는? 신개념 계란이불 딱지 토스트,https://www.youtube.com/watch?v=8QQ6nlhQXyg&pp=ygUKa29yZWEgZm9vZA%3D%3D,8개월 전,조회수 326만회
What i ate for meals in Korea Part 161 🇰🇷 #Korea #lunch #KoreanFood #mukbang #Shorts,https://www.youtube.com/shorts/q5jv-_U9nz0,2개월 전,조회수 40만회
25가지 집밥 모음ㅣ3년간 만든 집밥 중 맛있는 요리만 모은 영상,https://www.youtube.com/watch?v=SeaiInbr92k&pp=ygUKa29yZWEgZm9vZA%3D%3D,1년 전,조회수 1743만회
I tried North Korean food in South Korea,https://www.youtube.com/shorts/UBtBDfZevsQ,3년 전,조회수 448만회
Comment to Get a Gift #korea #koreanfood #lunchmenu,https://www.youtube.com/shorts/WGgzANsHQkg,1년 전,조회수 233만회
Lunch of ordinary office workers in Korea🇰🇷 pt.93 #korea #mukbang #korean #foodie #yummy #seoul,https://www.youtube.com/shorts/ty-m_N00SG4,1개월 전,조회수 1394만회
What I Ate for Lunch at a High School in Korea Part 1 🇰🇷🏫 #korea #southkorea #seoul #koreanfood,https://www.youtube.com/shorts/BtbkIdIWtTk,1년 전,조회수 189만회
korean convenience store run 😋,https://www.youtube.com/shorts/UIvgD-RuYsY,1개월 전,조회수 2880만회
When you are eating food with a Korean,https://www.youtube.com/shorts/YrRUoSM42is,10개월 전,조회수 110만회
What I Ate for Lunch at the Office in Korea Part 26 🇰🇷 #korea #southkorea #seoul #koreanfood,https://www.youtube.com/shorts/EVRLYLATDNs,6년 전,조회수 572만회
시장 버거 달인 - korean street food,https://www.youtube.com/shorts/SXkUyjC8h4I,1년 전,조회수 192만회
Korean Street Food🍔🇰🇷 #streetfood #korea #movie,https://www.youtube.com/shorts/6JwnlUnbPlk,3년 전,조회수 91만회
멍때리고 보는 재미있는 음식 만드는 영상 몰아보기! [ASMR],https://www.youtube.com/watch?v=w6GnjgP3-0A&pp=ygUKa29yZWEgZm9vZA%3D%3D,8일 전,조회수 5402만회
korean street food tour || gwangjang market in seoul ~ PT 1,https://www.youtube.com/shorts/-oxf9lUTTvY,1년 전,조회수 983만회
20 BEST Korean Cheap Eats in Seoul South Korea,https://www.youtube.com/watch?v=CRYd-KJtpV8&pp=ygUKa29yZWEgZm9vZA%3D%3D,2주 전,조회수 257만회
Lunch at a Korean university -sungshin women’s university- 성신여대학식 #food #foodinkorea #koreanfood,https://www.youtube.com/shorts/WbvFptFghho,3년 전,조회수 905만회
인기 많은 옛날통닭 몰아보기 BEST 5 / korean original fried chicken / korean street food,https://www.youtube.com/watch?v=VvADdfX1iz8&pp=ygUKa29yZWEgZm9vZA%3D%3D,10개월 전,조회수 22만회
"요리 먹방 :)닭갈비에 치즈 볶음밥이 빠질 순없지~, 파채무침, 마카로니 샐러드. korean food mukbang.",https://www.youtube.com/watch?v=eljQa61FbQw&pp=ygUKa29yZWEgZm9vZA%3D%3D,1년 전,조회수 429만회
"햄지네 백반☆김치찌개,어묵볶음,총각김치,김구이,햄,계란후라이ㅣKorean Home mealㅣReal Mukbangㅣ",https://www.youtube.com/watch?v=f6NigurDekg&pp=ygUKa29yZWEgZm9vZA%3D%3D,1년 전,조회수 1385만회
Amazing Korean  Famous Food Videos Collection - Korean Street Food / 놀라운 한국 유명 음식 몰아보기,https://www.youtube.com/watch?v=wEDJSLPLrYc&pp=ygUKa29yZWEgZm9vZA%3D%3D,5개월 전,조회수 988만회
Let’s Eat Korean Food 🍱 🥢 #shorts #youtubeshorts #food #koreanfood,https://www.youtube.com/shorts/NTfxBmbFGbU,1개월 전,조회수 5.2만회
another lunch at a japanese convenience store,https://www.youtube.com/shorts/JtlNI8U8OVM,1년 전,조회수 1.3억회
What I Ate for Lunch at the Office in Korea Part 36 🇰🇷 #korea #southkorea #seoul #koreanfood,https://www.youtube.com/shorts/t_qRBEHLdcI,1년 전,조회수 241만회
$1 food from the korean convenience store! #shorts,https://www.youtube.com/shorts/3CqsZYn5Ouw,1개월 전,조회수 106만회
CHALLENGE KOREA: BATTLE OF K-FOOD,https://www.youtube.com/watch?v=d95A1xJ4yqM&pp=ygUKa29yZWEgZm9vZA%3D%3D,1년 전,조회수 438만회
핫도그공장 대량생산 현장! 전국 휴게소만 119곳 납품?! 해외로 수출까지 하는 겉바속촉 핫도그 츄러스,https://www.youtube.com/watch?v=lKjrmiZXgBs&pp=ygUKa29yZWEgZm9vZA%3D%3D,1년 전,조회수 1860만회
Trying KOREAN McDonald's in Seoul South Korea 🍔🍟🍦,https://www.youtube.com/shorts/3JOMGmqSNIA,2일 전,조회수 373만회
"Americans Try Korean Street Food For The First Time! (Tteokbokki, Gimbap, Gamja-HotDog)",https://www.youtube.com/watch?v=RJmSvbTJcwA&pp=ygUKa29yZWEgZm9vZA%3D%3D,1년 전,조회수 1743만회
"먹거리 끝판왕! 줄서서 먹는 세종 전통시장 떡볶이, 통닭, 호떡 길거리음식 몰아보기 TOP3 / Traditional Market Food / Korean Street Food",https://www.youtube.com/watch?v=wJneAJM6noY&pp=ygUKa29yZWEgZm9vZA%3D%3D,2년 전,조회수 476만회
Korean Street Food After Dark!! The Freaks Come Out At Night!!,https://www.youtube.com/watch?v=x76t-l69_6E&pp=ygUKa29yZWEgZm9vZA%3D%3D,4개월 전,조회수 802만회
Lunch of ordinary office workers in Korea🇰🇷 pt.93 #korea #mukbang #korean #foodie #yummy #seoul,https://www.youtube.com/shorts/ty-m_N00SG4,9개월 전,조회수 317만회
POV: you're craving Korean street food 🤤🔥,https://www.youtube.com/shorts/iD1vbafy7UU,1년 전,조회수 681만회
"밥도둑 특집☆굴비구이,계란장,오이지,갓김치ㅣGrilled Fish Set Home mealㅣReal Mukbangㅣ",https://www.youtube.com/watch?v=xVmoVVF_iBU&pp=ygUKa29yZWEgZm9vZA%3D%3D,6개월 전,조회수 302만회
$13 VS $810 Korean BBQ!! Korea Has The NEW Wagyu!!,https://www.youtube.com/watch?v=z9r9nT8_ND8&pp=ygUKa29yZWEgZm9vZA%3D%3D,3년 전,조회수 4.5만회
한국에서 인기있는 길거리 음식 몰아보기! / popular korean street food video collection!,https://www.youtube.com/watch?v=4UEi2oJimKg&pp=ygUKa29yZWEgZm9vZA%3D%3D,1년 전,조회수 123만회
EATING ONLY KOREAN FOOD CHALLENGE #shorts #mukbang #food,https://www.youtube.com/shorts/LZkjBiCXPu4,8개월 전,조회수 175만회
해외 SNS에서 유행 중인 한국음식,https://www.youtube.com/shorts/k7Bwgu08FTo,1년 전,조회수 10만회
하루 5000개 대량생산! 꼭두새벽부터 만드는 정성가득한 떡갈비 탕수육 도시락 식품 공장 생생한 현장 / Lunch Box Factory / Korean Street Food,https://www.youtube.com/watch?v=07Bf0guzLYk&pp=ygUKa29yZWEgZm9vZA%3D%3D,10개월 전,조회수 66만회
Eating the BEST KOREAN STREET FOOD in SEOUL,https://www.youtube.com/watch?v=zPuLGkluoTY&pp=ygUKa29yZWEgZm9vZA%3D%3D,2일 전,조회수 1080만회
