,Title,Link,Upload Date,View Count,Absolute Upload Date
478,#고속터미널10층 #포석정            #Korea food      #Shorts,https://www.youtube.com/shorts/Zl8ST7kRlyo,2일 전,조회수 2.7천회,2024-06-29 00:00:00
479,Top 4 Korean Food You Need To Try,https://www.youtube.com/shorts/PssA_0GqDX0,4년 전,조회수 3.3만회,2020-07-02 00:00:00
480,korea LOVES chicken #koreafood #travelseason #friedchicken,https://www.youtube.com/shorts/Zm53jxOIrjY,7년 전,조회수 2.8만회,2017-07-03 00:00:00
481,Korean noodles🍜😋🤤🫶.  #experiment #reels #love #pablic #korea #koreannoodles #viral #newshorts,https://www.youtube.com/shorts/rd_EANP50Kg,4년 전,조회수 428회,2020-07-02 00:00:00
482,Korea Food Expedition  3 / 4,https://www.youtube.com/watch?v=7JDvdEsqBuE&pp=ygUKa29yZWEgZm9vZA%3D%3D,4년 전,조회수 1.9만회,2020-07-02 00:00:00
483,한국에서 가장 인기있는 길거리 음식 몰아보기! / Popular Korean Street food Collection!,https://www.youtube.com/watch?v=BxRzTDKvVjo&pp=ygUKa29yZWEgZm9vZA%3D%3D,2년 전,조회수 23만회,2022-07-02 00:00:00
484,모듬전 비 오는 날 위로가 되는 음식 #food #korea #맛집 #koreafood #먹방 #kfood #yummy #koreanfood,https://www.youtube.com/shorts/7OmSfJlKx0Q,2년 전,조회수 619만회,2022-07-02 00:00:00
485,동탄 치즈폭탄 피자! 각종 SNS에서 떠오르는 핫 한 맛집! 치즈 어디까지 늘어나는거야 / 동탄맛집 농가의하루 치즈폭탄피자,https://www.youtube.com/watch?v=wHRVxAZuTsE&pp=ygUKa29yZWEgZm9vZA%3D%3D,6년 전,조회수 74회,2018-07-03 00:00:00
486,"seoul vlog 🍢 trying korea's #1 street food market (and more! chill, rainy day)",https://www.youtube.com/watch?v=6LhzwP7Kl8w&pp=ygUKa29yZWEgZm9vZA%3D%3D,1년 전,조회수 3회,2023-07-02 00:00:00
487,#mukbang korean food Asmr||#full creamy full chocolate cake||#Asmr Chinese eating show||#short,https://www.youtube.com/shorts/jHTLuF5qT-c,6일 전,조회수 5.3천회,2024-06-25 00:00:00
488,대구맛집 압구정편의점 수성못 #daegu #맛집 #koreafood #food #daegufood #koreanfood #yummy #수성못 #대구맛집 #shorts #korea,https://www.youtube.com/shorts/DvHBWjifLQE,5년 전,조회수 1282만회,2019-07-03 00:00:00
489,#korea #food #맛집 #숏밥스 #밥처럼음악처럼 #music #eat #delicious #초밥 #꿩 #요리 #코스요리 #구독 #좋아요,https://www.youtube.com/shorts/o3wQaI9f--c,3년 전,조회수 6.9천회,2021-07-02 00:00:00
490,🧈 길거리 토스트 도시락 🥪 #도시락 #lunchbox  #bento #koreafood,https://www.youtube.com/shorts/FhL6_7bGNpU,4개월 전,조회수 27만회,2024-03-03 00:00:00
491,KOREAN STREET FOOD - 광장 시장 거리 음식 여행 서울 South Korea | 최고 매운 한국 음식(Luke Martin),https://www.youtube.com/watch?v=cVZheE7mNR4&pp=ygUKa29yZWEgZm9vZA%3D%3D,3년 전,조회수 23만회,2021-07-02 00:00:00
492,[Korea Food]5분이면 만드는 계란마요네즈덮밥 만들기 Egg mayonnaise rice,https://www.youtube.com/watch?v=AVi3cY3W0y4&pp=ygUKa29yZWEgZm9vZA%3D%3D,1년 전,조회수 412회,2023-07-02 00:00:00
493,"best korean street food: cheesy tteokbokki, korean spicy rice cakes and eomuk, korean fish cakes 먹방",https://www.youtube.com/shorts/Z_WS7thX8lw,2일 전,조회수 232회,2024-06-29 00:00:00
494,Trying Malaysian 🇲🇾Food for the first time in Korea ASMR 😋Char Kuey Teow #foodie #mukbangasmr,https://www.youtube.com/shorts/fKAcHdO1_p8,4일 전,조회수 34만회,2024-06-27 00:00:00
495,#mukbang #eattingsounds #koreafood,https://www.youtube.com/shorts/hZ7LbAPFoaU,10일 전,조회수 1119만회,2024-06-21 00:00:00
496,#korea#food#누룽지삼계탕,https://www.youtube.com/shorts/ajmbCiZ9lJg,1개월 전,조회수 414만회,2024-06-01 00:00:00
497,Korean Corn Dog /Hot Dog - Famous Korean Street Food Recipe by Food Fusion,https://www.youtube.com/watch?v=H_xRAwF-XhE&pp=ygUKa29yZWEgZm9vZA%3D%3D,4년 전,조회수 25만회,2020-07-02 00:00:00
498,ASMR MUKBANG 편의점 핵불닭 미니!! 떡볶이 & 핫도그 & 김밥 FIRE Noodle & HOT DOG & GIMBAB EATING SOUND!,https://www.youtube.com/watch?v=vNBt7b80UpA&pp=ygUKa29yZWEgZm9vZA%3D%3D,4년 전,조회수 1.5만회,2020-07-02 00:00:00
499,"간만에 먹는 푸짐한 집밥 한 상! 제육볶음, 양미리조림, 콩자반 한식 먹방! (Korean homemade foods) 요리&먹방!! - Mukbang eating show",https://www.youtube.com/watch?v=RBtyaEDxzWs&pp=ygUKa29yZWEgZm9vZA%3D%3D,7년 전,조회수 5.6만회,2017-07-03 00:00:00
